hospital_id,service_code,service_name,unit,category_name,payer_type,price,currency,effective_from,effective_to,notes,status
1,MAD5,Chụp X-quang Cổ tay thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAD6,Chụp X-quang Cột sống cổ (cúi - ngửa) số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAD6,Chụp X-quang Cột sống cổ (cúi - ngửa) số hóa 1 phim,Lần,X-QUANG,BHYT,130000,VND,2024-01-01,,,1
1,MAE1,Chụp X-quang Cột sống ngực nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAE1,Chụp X-quang Cột sống ngực nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAE4,Chụp X-quang Cột sống thắt lưng (cúi - ngửa) số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAE4,Chụp X-quang Cột sống thắt lưng (cúi - ngửa) số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAE5,Chụp X-quang Cột sống thắt lưng T-N-Cúi số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,180000,VND,2024-01-01,,,1
1,MAE5,Chụp X-quang Cột sống thắt lưng T-N-Cúi số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAE9,Chụp X-quang Cột sống thắt lưng-cùng T-N-C số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,230000,VND,2024-01-01,,,1
1,MAE9,Chụp X-quang Cột sống thắt lưng-cùng T-N-C số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAF0,Chụp X-quang Cung gò má số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAF0,Chụp X-quang Cung gò má số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAF1,Chụp X-quang Dạ dày cản quang số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,280000,VND,2024-01-01,,,1
1,MAF1,Chụp X-quang Dạ dày cản quang số hóa 1 phim,Lần,X-QUANG,BHYT,124300,VND,2024-01-01,,,1
1,MAF5,Chụp X-quang đường rò cản quang số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,880000,VND,2024-01-01,,,1
1,MAF5,Chụp X-quang đường rò cản quang số hóa 1 phim,Lần,X-QUANG,BHYT,446800,VND,2024-01-01,,,1
1,MAG0,Chụp X-quang Hố yên thẳng (Worms-Bretton) số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAG0,Chụp X-quang Hố yên thẳng (Worms-Bretton) số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAG1,Chụp X-quang Hố yên thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAG1,Chụp X-quang Hố yên thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAG2,Chụp X-quang Khớp cùng-chậu thẳng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAG2,Chụp X-quang Khớp cùng-chậu thẳng số hóa 1 phim,Lần,X-QUANG,BHYT,130000,VND,2024-01-01,,,1
1,MAG3,Chụp X-quang Khớp gối 1 bên (T-N -tiếp tuyến) số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,220000,VND,2024-01-01,,,1
1,MAG3,Chụp X-quang Khớp gối 1 bên (T-N -tiếp tuyến) số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAG4,Chụp X-quang Khớp gối nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAG4,Chụp X-quang Khớp gối nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAG7,Chụp X-quang Khớp gối thẳng-nghiêng 2 bên số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,270000,VND,2024-01-01,,,1
1,MAG7,Chụp X-quang Khớp gối thẳng-nghiêng 2 bên số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAH0,Chụp X-quang Khớp háng thẳng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAH0,Chụp X-quang Khớp háng thẳng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAH3,Chụp X-quang Khớp khuỷu thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAH3,Chụp X-quang Khớp khuỷu thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAJ3,Chụp X-quang Ngón tay thẳng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAJ3,Chụp X-quang Ngón tay thẳng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAJ6,Chụp X-quang Ngực nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAJ6,Chụp X-quang Ngực nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
